id,factor,mean,std,count,<lambda_0>
id_1,A,-0.3653035883626403,1.102195543430136,8,3.6437955099693875
id_1,B,-0.4608921429627643,1.415059071719854,6,3.810638067496031
id_1,C,0.155238397455217,0.895512986514881,7,2.185533632955435
id_1,D,-0.6005027943806324,0.3082408164817998,6,0.7543037057079334
id_2,A,0.7041049001146037,0.9952781124359914,6,2.527270203358986
id_2,B,0.0496739705583967,0.5021051907346025,4,1.1406094536355318
id_2,C,-0.05870749761800076,1.1203852962836696,6,3.129592901372898
id_2,D,1.122824306374547,,1,0.0
id_3,A,0.7217592643124723,0.7924748396748497,3,1.5581384548594943
id_3,B,0.3682477687368089,1.121014070998449,5,2.997911997264798
id_3,C,-0.24748778407453742,0.5827420284023842,2,0.824121679931459
id_3,D,-0.01136291728695343,1.044477256280569,8,2.9727917092253247
id_4,A,0.3689381062221751,0.36504488069418894,3,0.6977108130813232
id_4,B,0.42428528412845334,0.0011571753323698878,2,0.0016364930490810892
id_4,C,-0.19021195645279845,0.6170204742121291,3,1.231126598651233
id_4,D,-0.5044434793433431,1.086923603143518,7,2.7519185647229047
id_5,A,-0.958834904473103,0.7634967820059525,3,1.5268909555102153
id_5,B,0.013618753912259073,1.1263984561801266,9,3.8332034214457096
id_5,C,0.18584924149843857,1.2138357421487895,9,3.6155727388078764
id_5,D,-0.38752457985713834,0.6819556149493227,3,1.3252886813620233
id_6,A,-0.03759805208708843,0.743042848019279,7,2.223929724371298
id_6,B,-0.48098513765700557,1.5320892193549935,4,3.5528014561253896
id_6,C,0.4044815426810468,1.1936526835195067,3,2.3690677399802618
id_6,D,0.18145833113114773,1.0243388457831832,5,2.5581170446207437
